File  .text     Size               Crate Name
0.0%   0.1%     366B                 std core::str::<impl str>::trim_start_matches
0.0%   0.1%     362B                 std gimli::read::abbrev::Attributes::push
0.0%   0.1%     361B                 std rustc_demangle::v0::Printer::print_const_uint
0.0%   0.1%     361B                 std std::env::_var_os
0.0%   0.1%     357B                 std core::slice::sort::stable::driftsort_main
0.0%   0.1%     357B                 std core::slice::sort::shared::smallsort::sort4_stable
0.0%   0.1%     356B                 std core::num::<impl usize>::from_ascii_radix
0.0%   0.1%     348B                 std core::slice::sort::stable::driftsort_main
0.0%   0.1%     346B                 std std::io::impls::<impl std::io::Write for alloc::vec::Vec<u8,A>>::write_vectored
0.0%   0.1%     344B                 std std::alloc::default_alloc_error_hook
0.0%   0.1%     343B                 std std::sys::env::unix::getenv::{{closure}}
0.0%   0.1%     337B                 std addr2line::Context<R>::find_unit
0.0%   0.1%     336B                 std core::slice::sort::stable::driftsort_main
0.0%   0.1%     336B                 std core::slice::sort::stable::driftsort_main
0.0%   0.1%     336B                 std core::slice::sort::stable::driftsort_main
0.0%   0.1%     335B                 std alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btr...
0.0%   0.1%     334B                 std core::str::iter::SplitInternal<P>::next
0.0%   0.1%     333B                 std std::sys::os_str::bytes::Slice::check_public_boundary::slow_path
0.0%   0.1%     333B                 std std::path::Components::len_before_body
0.0%   0.1%     332B                 std std::sys::backtrace::_print_fmt::{{closure}}
0.0%   0.1%     328B                 std std::sys::fs::metadata
0.0%   0.1%     327B                 std rustc_demangle::v0::Printer::print_path_maybe_open_generics
0.0%   0.1%     327B                 std alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,NodeType>,alloc::collec...
0.0%   0.1%     324B                 std rustc_demangle::v0::Printer::print_sep_list
0.0%   0.1%     322B                 std core::fmt::Write::write_char
0.0%   0.1%     320B                 std <rustc_demangle::Demangle as core::fmt::Display>::fmt
0.0%   0.1%     318B                 std std::sys::fs::unix::File::open_c
0.0%   0.1%     318B                 std core::panicking::assert_failed_inner
0.0%   0.1%     317B                 std core::ptr::drop_in_place<gimli::read::abbrev::Abbreviations>
0.0%   0.1%     316B                 std std::io::impls::<impl std::io::Write for alloc::vec::Vec<u8,A>>::write_all_vectored
0.0%   0.1%     314B                 std core::fmt::Formatter::debug_tuple_field1_finish
0.0%   0.1%     311B                 std <&[u8] as alloc::ffi::c_str::CString::new::SpecNewImpl>::spec_new_impl
0.0%   0.1%     301B                 std alloc::ffi::c_str::CString::_from_vec_unchecked
0.0%   0.1%     301B                 std std::io::Write::write_fmt
0.0%   0.1%     301B                 std std::io::Write::write_fmt
0.0%   0.1%     301B                 std std::io::Write::write_fmt
0.0%   0.1%     298B                 std addr2line::line::Lines::find_location
0.0%   0.1%     295B        clap_builder <alloc::string::String as core::fmt::Write>::write_char
0.0%   0.1%     294B                 std <std::panicking::begin_panic_handler::FormatStringPayload as core::panic::PanicPayload>::take_box
